央视频道,#genre#
广西卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226830/index.m3u8


广西卫视,http://39.134.55.155/PLTV/88888888/224/3221226580/index.m3u8
江苏卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226902/index.m3u8

江苏卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226672/index.m3u8


江苏卫视,http://39.134.55.155/PLTV/88888888/224/3221226423/index.m3u8

江西卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226788/index.m3u8


江西卫视,http://39.134.55.155/PLTV/88888888/224/3221226516/index.m3u8


河北卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226774/index.m3u8


河北卫视,http://39.134.55.155/PLTV/88888888/224/3221226576/index.m3u8


河南卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226791/index.m3u8

河南卫视,http://39.134.55.155/PLTV/88888888/224/3221226491/index.m3u8
浙江卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226700/index.m3u8

浙江卫视,http://39.135.129.166/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226795/index.m3u8
深圳卫视,http://39.135.129.166/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226725/index.m3u8


深圳卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
湖北卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226705/index.m3u8


湖北卫视,http://39.134.55.155/PLTV/88888888/224/3221226455/index.m3u8
湖南卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226727/index.m3u8

湖南卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226669/index.m3u8


湖南卫视,http://39.134.55.155/PLTV/88888888/224/3221226480/index.m3u8

辽宁卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221226141/index.m3u8
辽宁卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226156/index.m3u8

辽宁卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226049/index.m3u8

辽宁卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226731/index.m3u8

辽宁卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226689/index.m3u8

吉林卫视,http://39.135.129.162/hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227163/index.m3u8


重庆卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226737/index.m3u8



陕西卫视,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226707/1.m3u8
陕西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226591/1.m3u8
黑龙江卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226478/1.m3u8

贵州卫视,http://120.196.232.23:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226672/1.m3u8
贵州卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226616/1.m3u8




青海卫视,http://120.196.232.47:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226696/1.m3u8
青海卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226628/1.m3u8



甘肃卫视,http://120.196.232.47:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226662/1.m3u8
甘肃卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226612/1.m3u8


安徽卫视,http://120.196.232.45:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226655/1.m3u8
安徽卫视,http://39.135.129.164/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226746/index.m3u8


内蒙古卫视,http://120.196.232.39:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226685/1.m3u8
内蒙古卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226626/1.m3u8



西藏卫视,http://120.196.232.44:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226710/1.m3u8
西藏卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226630/1.m3u8




