中央卫视,#genre#
北京卫视,http://jltpc.x3322.net:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://gmxw.7766.org:808/hls/41/index.m3u8

东方卫视,http://cfss.cc/api/ysp/dfws.m3u8
东方卫视,http://222.175.159.226:808/hls/202343/index.m3u8
东方卫视,http://122.224.153.162:9901/tsfile/live/0107_1.m3u8?key=txiptv

深圳卫视,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD

辽宁卫视,http://222.175.159.226:808/hls/202348/index.m3u8

天津卫视,https://live.goodiptv.club/api/cqyx.php?id=tianjinHD
天津卫视,http://222.175.159.226:808/hls/202347/index.m3u8

贵州卫视,https://live.goodiptv.club/api/cqyx.php?id=guizhouHD
贵州卫视,http://222.175.159.226:808/hls/202355/index.m3u8

宁夏卫视,http://222.175.159.226:808/hls/202367/index.m3u8
宁夏卫视,http://222.71.90.218:8888/newlive/live/hls/42/live.m3u8

四川卫视,http://222.175.159.226:808/hls/202359/index.m3u8

东南卫视,http://222.175.159.226:808/hls/202350/index.m3u8

黑龙江卫视,http://222.175.159.226:808/hls/202353/index.m3u8

江西卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD
江西卫视,http://222.175.159.226:808/hls/202356/index.m3u8

吉林卫视,https://live.goodiptv.club/api/cqyx.php?id=jilinHD
吉林卫视,http://222.175.159.226:808/hls/202363/index.m3u8

广东卫视,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD
广东卫视,http://222.175.159.226:808/hls/202352/index.m3u8

广西卫视,https://live.goodiptv.club/api/cqyx.php?id=guangxiHD
广西卫视,http://222.175.159.226:808/hls/202362/index.m3u8

云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
云南卫视,http://222.175.159.226:808/hls/202360/index.m3u8

河南卫视,https://live.goodiptv.club/api/cqyx.php?id=henanHD
河南卫视,http://jltpc.x3322.net:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f/index.m3u8
河南卫视,https://cntv.lat/tv/live.php?auth=231110&id=henanHD
河南卫视,http://gxdl-lhs.8866.org:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0

河北卫视,http://jltpc.x3322.net:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://222.175.159.226:808/hls/202357/index.m3u8
河北卫视,http://gxdl-lhs.8866.org:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0

湖北卫视,http://jltpc.x3322.net:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://222.175.159.226:808/hls/202351/index.m3u8
湖北卫视,http://gxdl-lhs.8866.org:85/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0

安徽卫视,http://222.175.159.226:808/hls/202346/index.m3u8
安徽卫视,http://gxdl-lhs.8866.org:85/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0

山东卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
山东卫视,http://222.175.159.226:808/hls/202319/index.m3u8

山西卫视,http://222.175.159.226:808/hls/202364/index.m3u8
山西卫视,http://122.224.153.162:9901/tsfile/live/0118_1.m3u8?key=txiptv

陕西卫视,http://222.71.90.218:8888/newlive/live/hls/45/live.m3u8
陕西卫视,http://jltpc.x3322.net:9901/tsfile/live/0136_1.m3u8?key=txiptv
陕西卫视,http://222.175.159.226:808/hls/202365/index.m3u8

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://222.71.90.218:8888/newlive/live/hls/43/live.m3u8
青海卫视,http://222.175.159.226:808/hls/202370/index.m3u8

甘肃卫视,http://jltpc.x3322.net:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://222.175.159.226:808/hls/202369/index.m3u8
甘肃卫视,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw1590536221_1219061924/envivo_v/2018/SD/gansu/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073740&ContentId=531261933&timezone=UTC&mtv_session=c42270b736c7f7ad784d63391d3520bc&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9de29b7faceedf77d9b5796d2c8448a3&咪咕

内蒙古卫视,http://222.175.159.226:808/hls/202366/index.m3u8
内蒙古卫视,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw1589932581_-415191449/envivo_w/2018/SD/neimeng/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073739&ContentId=531261982&timezone=UTC&mtv_session=c9a5a27753539fa99cff7fe7b0773863&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9d2e1fadbae161e8f9ee1c06f4b85df&咪咕

延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视,http://gmxw.7766.org:808/hls/15/index.m3u8

新疆卫视,http://222.175.159.226:808/hls/202368/index.m3u8
新疆卫视,http://222.71.90.218:8888/newlive/live/hls/47/live.m3u8

凤凰资讯,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8
凤凰资讯,http://r.jdshipin.com/cCCzW

CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8

CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8

CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8

第一剧场,http://111.20.40.162/PLTV/88888893/224/3221226959/index.m3u8
第一剧场,http://111.20.40.163/PLTV/88888893/224/3221226959/index.m3u8

都市剧场,https://live.goodiptv.club/api/cqyx.php?id=dsjcHD

动漫秀场,https://live.goodiptv.club/api/cqyx.php?id=dmxcHD
动漫秀场,http://hls.live.cqccn.com/__cl/cg:live/__c/dmxcHD/__op/default/__f/index.m3u8
动漫秀场,https://cntv.lat/tv/live.php?auth=231110&id=dmxcHD

风云剧场,https://live.goodiptv.club/api/cqyx.php?id=fyjcHD
风云剧场,http://111.20.40.162/PLTV/88888893/224/3221226950/index.m3u8
风云剧场,http://111.20.40.163/PLTV/88888893/224/3221226950/index.m3u8
风云剧场,http://111.20.40.164/PLTV/88888893/224/3221226950/index.m3u8
风云剧场,http://111.20.40.165/PLTV/88888893/224/3221226950/index.m3u8
风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8

怀旧剧场,https://live.goodiptv.club/api/cqyx.php?id=hjjcHD
怀旧剧场,http://111.20.40.162/PLTV/88888893/224/3221226972/index.m3u8
怀旧剧场,http://111.20.40.163/PLTV/88888893/224/3221226972/index.m3u8
怀旧剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
怀旧剧场,http://111.20.40.160/PLTV/88888893/224/3221226972/index.m3u8
怀旧剧场,https://cntv.lat/tv/live.php?auth=231110&id=hjjcHD

风云音乐,http://111.20.40.162/PLTV/88888893/224/3221226953/index.m3u8
风云音乐,http://hls.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
风云音乐,https://live.goodiptv.club/api/cqyx.php?id=fyyyHD
风云音乐,http://111.20.40.163/PLTV/88888893/224/3221226953/index.m3u8
风云音乐,http://111.20.40.164/PLTV/88888893/224/3221226953/index.m3u8
风云音乐,http://111.20.40.165/PLTV/88888893/224/3221226953/index.m3u8

电影轮播,#genre#
喜剧1,https://live.metshop.top/douyu/10298856
喜剧2,https://live.metshop.top/yy/1382736862
喜剧3,https://live.metshop.top/yy/1354931495
贺岁1,https://live.metshop.top/huya/11352897
贺岁2,https://live.metshop.top/huya/11601986
沈腾,https://live.metshop.top/huya/11601968
周星驰1,http://tx-screenshots.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
周星驰1,https://www.goodiptv.club/huya/11342412
周星驰2,http://maomao.kandiantv.cn/douyu1.php?id=122402
周星驰3,https://live.metshop.top/yy/1382736808
周星驰4,https://live.metshop.top/huya/11352894
华语电影,http://maomao.kandiantv.cn/douyu1.php?id=85894
科幻电影,https://live.metshop.top/yy/1354930209
漫威电影1,https://live.metshop.top/yy/1354932402
漫威电影2,https://live.metshop.top/yy/1354930233
金庸电影,https://live.metshop.top/huya/11342435


电视剧循播,#genre#
陈翔六点半,https://live.metshop.top/huya/11274154
爱情公寓,https://live.metshop.top/huya/11336726
家有儿女,https://live.metshop.top/huya/11352872
武林外传,https://live.metshop.top/yy/1353852605
赵本山小品,https://live.metshop.top/yy/1382683959
倚天屠龙记,https://live.metshop.top/yy/1449856066
倚天屠龙记,https://live.metshop.top/yy/1354755003
倚天屠龙记TVB,https://live.metshop.top/huya/23734246
天龙八部,https://live.metshop.top/yy/1351814644
天龙八部,https://live.metshop.top/yy/28996058
天龙八部,https://live.metshop.top/huya/23903123
神雕侠侣,https://live.metshop.top/yy/1382704651
神雕侠侣,https://live.metshop.top/yy/1394000563
封神榜TVB,https://live.metshop.top/huya/23749096
封神榜TVB,https://live.metshop.top/huya/29465849
周杰伦MV,https://live.metshop.top/douyu/7537296
海绵宝宝,https://epg.112114.xyz/huya/11352919
